graph,num_rows,num_cols,nnz,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
chesapeake,39,39,340,8.71795,0.001431,0.001654,0.004287,0.006468,0.010063,0.011418,0.865175,0.3338,0.221243,0.142204,0.125328
hollywood-2009,1139905,1139905,113891327,99.913,255.202,204.515,115.645,65.4675,45.2521,45.8939,1.24784,2.20677,3.89815,5.63956,5.5607
ldoor,952203,952203,46522475,48.8577,70.6851,42.9659,23.2511,12.9526,7.8052,6.81408,1.64514,3.04008,5.45719,9.05615,10.3734
roadNet-CA,1971281,1971281,5533214,2.80691,20.547,12.2458,6.4955,3.20508,1.82098,1.59783,1.67788,3.16326,6.41076,11.2835,12.8593
chesapeake,39,39,340,8.71795,0.003777,0.001618,0.003833,0.007096,0.007202,0.012356,2.33436,0.98539,0.532272,0.524438,0.305681
hollywood-2009,1139905,1139905,113891327,99.913,257.852,162.519,107.594,65.5322,43.6444,42.0317,1.5866,2.39654,3.93474,5.90803,6.1347
ldoor,952203,952203,46522475,48.8577,71.209,37.0059,18.9068,9.11189,6.2615,6.25555,1.92426,3.76632,7.81495,11.3725,11.3833
roadNet-CA,1971281,1971281,5533214,2.80691,20.7071,10.4548,5.32935,2.71331,1.51267,1.32433,1.98063,3.88548,7.63166,13.6891,15.6359
chesapeake,39,39,340,8.71795,0.001425,0.001551,0.004467,0.006481,0.00812,0.011716,0.918762,0.319006,0.219873,0.175493,0.121629
hollywood-2009,1139905,1139905,113891327,99.913,257.83,162.353,108.295,65.8098,43.5788,41.9488,1.58808,2.38081,3.9178,5.9164,6.14629
ldoor,952203,952203,46522475,48.8577,71.4668,37.0965,18.8982,9.12055,6.39029,6.33228,1.92651,3.78167,7.8358,11.1837,11.2861
roadNet-CA,1971281,1971281,5533214,2.80691,20.5673,10.4284,5.27723,2.69992,1.52789,1.36343,1.97223,3.89738,7.61775,13.4613,15.085
